Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=838.266667 | time_average=4.408930s
e1_easy: reward_average=763.966667 | time_average=9.382121s
e2_easy: reward_average=650.866667 | time_average=1.399699s
e3_easy: reward_average=601.200000 | time_average=7.359149s
e4_easy: reward_average=883.533333 | time_average=6.787271s
e5_easy: reward_average=712.866667 | time_average=9.448126s
m1_easy: reward_average=557.833333 | time_average=0.585094s
m2_easy: reward_average=586.066667 | time_average=1.404719s
m3_easy: reward_average=574.433333 | time_average=3.261182s
m4_easy: reward_average=695.833333 | time_average=0.746074s
m5_easy: reward_average=585.500000 | time_average=0.389458s
rl_easy: reward_average=2759.966667 | time_average=0.098676s
p1_med: reward_average=1200.066667 | time_average=6.798587s
e1_med: reward_average=1096.933333 | time_average=14.121865s
e2_med: reward_average=933.166667 | time_average=2.089039s
e3_med: reward_average=876.466667 | time_average=10.499184s
e4_med: reward_average=1251.400000 | time_average=10.223445s
e5_med: reward_average=1019.200000 | time_average=14.356536s
m1_med: reward_average=806.433333 | time_average=1.056692s
m2_med: reward_average=843.900000 | time_average=1.974428s
m3_med: reward_average=784.600000 | time_average=4.517462s
m4_med: reward_average=994.166667 | time_average=1.020772s
m5_med: reward_average=827.033333 | time_average=0.536011s
rl_med: reward_average=4050.666667 | time_average=0.136988s
p1_hard: reward_average=1207.500000 | time_average=9.331879s
e1_hard: reward_average=1428.133333 | time_average=19.315734s
e2_hard: reward_average=915.833333 | time_average=2.639208s
e3_hard: reward_average=937.600000 | time_average=12.595112s
e4_hard: reward_average=1523.266667 | time_average=15.307476s
e5_hard: reward_average=964.333333 | time_average=19.027975s
m1_hard: reward_average=883.900000 | time_average=1.107150s
m2_hard: reward_average=799.866667 | time_average=2.369471s
m3_hard: reward_average=792.300000 | time_average=5.649707s
m4_hard: reward_average=1256.566667 | time_average=0.924733s
m5_hard: reward_average=866.533333 | time_average=2.057154s
rl_hard: reward_average=5487.366667 | time_average=0.096428s
