Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=844.233333 | time_average=4.545035s
e1_easy: reward_average=766.566667 | time_average=9.814957s
e2_easy: reward_average=647.900000 | time_average=1.405574s
e3_easy: reward_average=607.766667 | time_average=7.051553s
e4_easy: reward_average=888.666667 | time_average=6.820372s
e5_easy: reward_average=709.033333 | time_average=9.425867s
m1_easy: reward_average=563.733333 | time_average=0.570868s
m2_easy: reward_average=588.200000 | time_average=1.317768s
m3_easy: reward_average=588.433333 | time_average=3.326909s
m4_easy: reward_average=693.633333 | time_average=0.868598s
m5_easy: reward_average=589.166667 | time_average=0.385190s
rl_easy: reward_average=2763.900000 | time_average=0.097370s
p1_med: reward_average=1202.700000 | time_average=6.767098s
e1_med: reward_average=1103.266667 | time_average=14.323624s
e2_med: reward_average=929.266667 | time_average=2.078244s
e3_med: reward_average=889.266667 | time_average=10.196511s
e4_med: reward_average=1258.466667 | time_average=11.219623s
e5_med: reward_average=1011.733333 | time_average=14.084678s
m1_med: reward_average=799.033333 | time_average=0.839921s
m2_med: reward_average=833.133333 | time_average=1.937515s
m3_med: reward_average=820.733333 | time_average=4.607640s
m4_med: reward_average=988.633333 | time_average=1.030438s
m5_med: reward_average=839.933333 | time_average=0.543367s
rl_med: reward_average=4072.333333 | time_average=0.131846s
p1_hard: reward_average=1213.933333 | time_average=9.218648s
e1_hard: reward_average=1433.200000 | time_average=19.754003s
e2_hard: reward_average=930.733333 | time_average=2.644010s
e3_hard: reward_average=930.000000 | time_average=12.611247s
e4_hard: reward_average=1510.466667 | time_average=15.554463s
e5_hard: reward_average=965.400000 | time_average=19.132543s
m1_hard: reward_average=870.100000 | time_average=1.106921s
m2_hard: reward_average=787.966667 | time_average=2.408315s
m3_hard: reward_average=816.633333 | time_average=5.531644s
m4_hard: reward_average=1142.100000 | time_average=5.134761s
m5_hard: reward_average=850.766667 | time_average=3.544841s
rl_hard: reward_average=5449.266667 | time_average=0.174296s
Averages per problem (n_runs = 30)
==================================================

p1_easy: reward_average=830.433333 | time_average=4.402372s
e1_easy: reward_average=774.300000 | time_average=9.466318s
e2_easy: reward_average=643.600000 | time_average=1.388219s
e3_easy: reward_average=610.333333 | time_average=7.081748s
e4_easy: reward_average=887.533333 | time_average=6.740741s
e5_easy: reward_average=709.133333 | time_average=9.287277s
m1_easy: reward_average=557.700000 | time_average=0.529276s
m2_easy: reward_average=583.433333 | time_average=1.254536s
m3_easy: reward_average=579.400000 | time_average=2.730408s
m4_easy: reward_average=689.533333 | time_average=0.923960s
m5_easy: reward_average=575.533333 | time_average=0.412953s
rl_easy: reward_average=2752.833333 | time_average=0.093250s
p1_med: reward_average=1186.033333 | time_average=6.610913s
e1_med: reward_average=1103.333333 | time_average=14.366212s
e2_med: reward_average=932.266667 | time_average=2.074060s
e3_med: reward_average=884.966667 | time_average=10.235910s
e4_med: reward_average=1256.600000 | time_average=10.603671s
e5_med: reward_average=1016.000000 | time_average=14.108288s
m1_med: reward_average=798.300000 | time_average=0.773984s
m2_med: reward_average=825.933333 | time_average=1.841647s
m3_med: reward_average=809.233333 | time_average=4.255283s
m4_med: reward_average=984.300000 | time_average=1.298858s
m5_med: reward_average=831.533333 | time_average=0.565834s
rl_med: reward_average=4093.900000 | time_average=0.132624s
p1_hard: reward_average=1218.766667 | time_average=9.156360s
e1_hard: reward_average=1420.633333 | time_average=19.117794s
e2_hard: reward_average=906.033333 | time_average=2.824474s
e3_hard: reward_average=951.666667 | time_average=15.315292s
e4_hard: reward_average=1512.400000 | time_average=30.269577s
e5_hard: reward_average=967.233333 | time_average=55.582535s
m1_hard: reward_average=861.900000 | time_average=4.126904s
m2_hard: reward_average=782.266667 | time_average=7.095818s
m3_hard: reward_average=808.766667 | time_average=13.869411s
m4_hard: reward_average=1155.233333 | time_average=8.564904s
m5_hard: reward_average=856.200000 | time_average=4.846512s
rl_hard: reward_average=5483.000000 | time_average=0.256080s
